GASSID,nComps,Qlty,Problems,Notes
GASS110019,1,G,S,
GASS110057,2,O,"C,D",
GASS23102,3,O,"C,S",
GASS54577,1,G,S,Embedded object
GASS55541,2,B,"C,S","Embedded object, Edge on"
GASS110003,2,B,"C,S","Large galaxy, Diffuse spiral arms, Group"
GASS23120,?,B,"S,D",Interacting
GASS23194,2,B,"C,S,D",Interacting
GASS23195,2,B,"C,S,D,B","Large galaxy, Diffuse spiral arms, Bright nearby object, Ring"
GASS26602,2,O,"C,S",Embedded object
GASS26598,2,B,"C,S","Large galaxy, Diffuse spiral arms"
GASS110043,2,B,C,
GASS110001,2,O,C,Ring
GASS110055,1,O,C,
GASS110017,2,B,C,
GASS26586,1,G,"C,B",Bright nearby object
GASS54763,1,O,"C,S,B,D,I","Large galaxy, Embedded object"
GASS26569,3,B,C,
GASS110059,3,O,"C,S",Embedded object
GASS23228,1,G,-,
GASS110041,3,B,"C,S,B,D,I","Large galaxy, Diffuse spiral arms, Interacting"
GASS15181,2,B,"C,D",Edge on
GASS26629,3,O,C,Diffuse spiral arms
GASS15211,2,O,"C,S","Embedded object, Edge on"
GASS26640,2,C,"C,S",
GASS26639,2,B,"C,S,D",Edge on
GASS15155,2,O,"C,D","Large galaxy, Edge on"
GASS15166,3,B,"C,D",
GASS23315,2,B,C,
GASS23302,2,O,C,
GASS15151,2,B,"C,S,D","Edge on, Embedded object"
GASS23320,2,B,"C,S",
GASS110049,3,B,C,
GASS8914,2,B,"C,S",
GASS110054,3,B,C,
GASS38255,2,O,"C,S","Embedded object, Diffuse spiral arms"
GASS29594,2,O,C,
GASS110007,2,O,C,
GASS29596,2,B,C,
GASS15257,2,O,C,
GASS110022,2,B,"C,B",Bright nearby object
GASS29510,2,B,"C,S",Large galaxy
GASS8971,3,B,C,
GASS29505,3,B,C,
GASS15242,2,B,C,
GASS23381,3,C,"C,S","Large galaxy, Embedded object"
GASS23419,2,B,C,
GASS34723,3,O,C,
GASS23437,1,G,C,
GASS8953,2,G,C,
GASS8945,1,G,C,
GASS23441,2,B,C,
GASS23408,1,G,"C,S",
GASS110063,1,O,"C,S",Embedded object
GASS9085,3,B,"C,S",Diffuse spiral arms
GASS23450,2,O,C,
GASS23496,3,B,C,
GASS54986,1,G,S,
GASS23453,2,B,C,
GASS17659,1,G,S,
GASS110081,1,G,"S,D","Clumpy, Edge on"
GASS9114,3,B,C,
GASS17635,2,B,C,
GASS17673,2,B,C,
GASS57415,2,B,C,Ring
GASS15485,2,B,C,
GASS23457,1,G,-,
GASS5442,3,B,"C,S,D,B,I","Large galaxy, Diffuse spiral arms, Embedded object"
GASS17684,2,B,C,
GASS17622,2,O,C,"Embedded object, Edge on"
GASS29624,1,G,C,
GASS23518,2,O,C,
GASS34989,2,B,"C,I",Large galaxy
GASS15570,2,B,"C,S,B,I",Large galaxy
GASS23563,2,B,"C,S,B,I",Large galaxy
GASS29699,2,B,"C,S,B,I",Large galaxy
GASS111042,2,B,C,
GASS111035,2,B,"C,S,B,I",Large galaxy
GASS47677,1,O,C,Group
GASS48356,1,O,"C,S",Large galaxy
GASS47825,1,G,-,
GASS48205,1,G,"C,S",
GASS48160,1,O,"C,S",
GASS111062,2,O,C,
GASS17840,1,G,C,
GASS12371,3,O,C,
GASS15612,1,O,C,
GASS111066,1,G,-,
GASS17824,1,G,-,Edge on
GASS48208,2,B,"C,S",
GASS23531,2,B,"C,D",Edge on
GASS12318,1,G,"S,I",Large galaxy
GASS17843,2,B,C,
GASS23539,1,G,C,
GASS5701,2,B,"C,D",Edge on
GASS111101,1,O,"C,S",Diffuse spiral arms
GASS111064,2,B,C,
GASS111077,2,B,"C,D",Edge on
GASS48521,2,O,"C,S",
GASS48518,2,B,C,
GASS24496,3,B,C,
GASS12452,2,O,"C,D",Edge on
GASS12293,2,B,"C,S",
GASS48544,1,O,"C,S",
GASS12460,1,O,"C,S,D",Edge on
GASS12458,1,G,S,
GASS29842,2,B,C,
GASS111053,2,O,C,
GASS5848,2,B,C,
GASS111083,1,G,C,Offset bulge
GASS24513,3,B,"C,S",
GASS23685,3,O,C,
GASS29883,3,B,"C,S",Diffuse spiral arms
GASS23715,2,B,C,
GASS23703,2,O,C,
GASS111093,?,O,"C,D","Interacting, Offset bulge"
GASS48604,3,B,C,
GASS17865,2,B,"C,S",Embedded object
GASS111067,1,O,-,Clumpy
GASS29892,2,B,"C,B",Bright nearby source
GASS111030,3,B,"C,S",
GASS29871,2,B,C,
GASS48974,1,O,"C,D","Interacting, Tidal"
GASS6015,2,O,"C,D",Edge on
GASS23757,2,B,C,
GASS111079,3,B,"C,S,B,D,I","Large galaxy, Diffuse spiral arms, Clumpy"
GASS57697,3,B,C,
GASS23761,1,G,"C,S,B",Large galaxy
GASS23739,2,O,C,
GASS111100,1,G,"C,D",
GASS111086,2,B,"C,D",Edge on
GASS111071,1,O,C,Canonical
GASS111080,2,B,C,
GASS23789,2,B,C,
GASS23781,1,O,C,
GASS111029,2,B,C,Canonical
GASS48994,2,B,C,Large galaxy
GASS111047,1,G,-,Clumpy
GASS12597,2,O,"C,D",Edge on
GASS111036,1,G,C,Group
GASS111024,2,B,"C,S,B",Bright nearby object
GASS111090,?,O,"C,S,D",Interacting
GASS111002,2,B,"C,S,D",Edge on
GASS111057,2,B,C,
GASS111044,2,B,"C,S,B","Diffuse spiral arms, Bright nearby object"
GASS18087,1,G,-,
GASS111070,2,B,"C,S,D,I","Large galaxy, Diffuse spiral arms"
GASS23815,1,G,"C,S",Embedded object
GASS18084,2,B,C,Canonical
GASS18004,1,O,"C,S,B",Group
GASS111054,1,G,"C,B",Bright nearby object
GASS111075,2,B,"C,S","Large galaxy, Diffuse spiral arms"
GASS111088,1,G,C,
GASS111091,3,O,"C,S,B,I","Large galaxy, Diffuse spiral arms"
GASS111023,3,B,"C,S,I","Large galaxy, Diffuse spiral arms"
GASS49433,2,B,"C,S",
GASS111027,2,B,C,
GASS111004,2,B,"C,S,I",Bright nearby object
GASS111049,2,O,C,
GASS111074,?,B,"C,S,B,D,I","Canonical, Large galaxy, Diffuse spiral arms, Nearby bright object"
GASS111063,2,O,"C,S,D",Edge on
